,id,coef_glmer.X.Intercept.,coef_glmer.PopLP,coef_glmer.RearingP,coef_glmer.PopLP.RearingP,theta_glmer,var_re.Family.(Intercept),estim_pop,se_pop,stat_pop_wald,pval_pop_wald,estim_rear,se_rear,stat_rear_wald,pval_rear_wald,estim_int,se_int,stat_int_wald,pval_int_wald,estim_simple_HPP_LPP,se_simple_HPP_LPP,stat_simple_HPP_LPP_wald,pval_simple_HPP_LPP_wald,estim_simple_HPNP_LPNP,se_simple_HPNP_LPNP,stat_simple_HPNP_LPNP_wald,pval_simple_HPNP_LPNP_wald,estim_simple_LPP_LPNP,se_simple_LPP_LPNP,stat_simple_LPP_LPNP_wald,pval_simple_LPP_LPNP_wald,estim_simple_HPP_HPNP,se_simple_HPP_HPNP,stat_simple_HPP_HPNP_wald,pval_simple_HPP_HPNP_wald,model_comp_stat.Chisq,model_comp_df.Df,model_comp_pval.Pr(>Chisq),conv_opt,conv_lme4,warn_flag,singular_fit,resid.1,resid.2,resid.3,resid.4,resid.5,resid.6,resid.7,resid.8,resid.9,resid.10,resid.11,resid.12,resid.13,resid.14,resid.15,resid.16,resid.17,resid.18,resid.19,resid.20,resid.21,resid.22,resid.23,resid.24,resid.25,resid.26,resid.27,resid.28,resid.29,resid.30,resid.31,resid.32,resid.33,resid.34,resid.35,resid.36
result.1,chr1_21410456_aripo,-4.59421496743854,-23.1348123330633,-22.922916507505,23.8164138641527,221.322296051729,18.430209742706,-11.226605400987,47054.1951589067,-0.000238588830668,0.999809633657436,11.0147095754287,47054.1951574417,0.000234085601477,0.999813226714381,23.8164138641527,94108.3903178672,0.00025307428789,0.999798075935112,-23.1348123330633,41491.8075755943,-0.000557575427171,0.999555119198229,0.681601531089385,84467.8579835244,8.06935972287035E-06,0.999993561582462,22.922916507505,39679.5595297784,0.000577700881238,0.999539061411736,-0.893497356647675,85334.1765265361,-1.04705686867421E-05,0.999991645694902,14.5198601873183,1,0.00013868969771,0,-1,TRUE,TRUE,-1.38441086738308E-06,-0.131333498705669,0.144730036372209,-0.131333498706605,-1.38441086738308E-06,-3.53846873705854E-05,-1.34844599675054E-06,-2.10307107842594E-06,-1.23427957749657E-06,-1.93258895160894E-06,-2.10307107842594E-06,-1.34844599675054E-06,-1.93258895160894E-06,-1.23427957749657E-06,-1.23427957749657E-06,-1.93258895160894E-06,0.256566717494702,-1.23427957749657E-06,-2.10307107842594E-06,-3.18275565087124E-05,-1.17094042029593E-05,-1.83032976899871E-05,-1.34844599675054E-06,-1.48709582087229E-06,-0.131333498704921,-1.38441086738308E-06,-1.38441086738308E-06,-0.131333498705669,-1.38441086738308E-06,-0.131333498704734,-0.131333498706605,-1.38441086738308E-06,-1.48709582087229E-06,-0.131333498704921,-1.48709582087229E-06,-0.131333498706792
result.2,chr1_21410457_aripo,-4.2166553776006,-19.7418385180185,-19.5259382562008,22.5783040856603,207.776716846036,14.5850157697222,-8.45268647518831,319.546346617589,-0.026452145564048,0.97889670253553,8.23678621337065,305.953109097094,0.026921727442739,0.978522163803532,22.5783040856603,173.330975234753,0.130261218775705,0.896359761523626,-19.7418385180185,302.733627716277,-0.065211911431658,0.948005277366262,2.83646556764187,357.202882702469,0.007940768971914,0.993664249620792,19.5259382562008,331.914070516277,0.058828293195974,0.953088872768452,-3.05236582945953,303.429519351014,-0.010059554640524,0.991973772032542,10.5781128753314,1,0.001144344144143,0,0,FALSE,FALSE,-9.03404956480311E-06,-0.156982263148602,0.182963515767975,-0.156982263180344,-9.03404956480311E-06,-0.000174492210065,-8.87172488877009E-06,-4.08133484606197E-05,-8.1110730967428E-06,-3.73065092427188E-05,-4.08133484606197E-05,-8.87172488877009E-06,-3.73065092427188E-05,-8.1110730967428E-06,-8.1110730967428E-06,-3.73065092427188E-05,0.296726816507234,-8.1110730967428E-06,-4.08133484606197E-05,-0.000156636851151,-6.2474635939842E-05,-0.000287420888574,-8.87172488877009E-06,-9.8827766742428E-06,-0.15698226251273,-9.03404956480311E-06,-9.03404956480311E-06,-0.156982263140813,-9.03404956480311E-06,-0.156982262505089,-0.156982263180344,-9.03404956480311E-06,-9.8827766742428E-06,-0.15698226251273,-9.8827766742428E-06,-0.156982263187985
result.3,chr1_21410462_aripo,-2.3025857120947,-20.3351280644739,-20.3823127136711,41.7672627776866,15688.1165755202,0,0.548503324369378,7.03173131806039,0.078004021991084,0.937824853657065,-0.501318675172232,7.03173131806039,-0.071293775671525,0.943163948920284,41.7672627776866,8.09982654679597,5.15656261728325,2.51524396102171E-07,-20.3351280644739,8.09982654679596,-2.51056339873326,0.012053867543721,21.4321347132127,8.12938470086712,2.63637845935949,0.008379621336985,20.3823127136711,8.09982654679597,2.51638878881099,0.011856431170501,-21.3849500640155,8.12938470086711,-2.63057425019319,0.008524074709605,7.0393827627413E-05,1,0.993305744926273,52,0,TRUE,TRUE,-1.66936194925588E-05,1.67484914850276,-0.447212744403457,-0.447212744403457,-1.66936194925588E-05,-1.66936194925588E-05,-1.72073891104225E-05,-0.75592522305786,-1.72073891104225E-05,-0.75592522305786,1.03774903070698,-1.72073891104225E-05,-0.75592522305786,-1.72073891104225E-05,-1.72073891104225E-05,-0.75592522305786,-0.447212744403457,-1.72073891104225E-05,-0.75592522305786,-1.72073891104225E-05,-1.72073891104225E-05,1.03774903070698,-1.72073891104225E-05,-1.66936194925588E-05,-0.447212744403457,-1.66936194925588E-05,-1.66936194925588E-05,-0.447212744403457,-1.66936194925588E-05,-0.447212744403457,-0.447212744403457,-1.66936194925588E-05,-1.66936194925588E-05,-0.447212744403457,-1.66936194925588E-05,-0.447212744403457
result.4,chr1_21410496_aripo,-2.03973474878097,-19.6932286674179,-1.41466496377145,21.7396185949766,148.898937743805,3.46692783502587,-8.82341936992959,4950.01198824869,-0.00178250464663,0.998577767816043,-9.45514433371685,4950.01197918464,-0.001910125545853,0.998475941244544,21.7396185949766,9900.02396037129,0.002195915755558,0.998247914129923,-19.6932286674179,9900.02386253514,-0.001989210222204,0.998412840922232,2.04638992755872,1.44803631297341,1.41321727171099,0.157591849657208,1.41466496377145,1.19123245361005,1.18756415633598,0.235005166429054,-20.3249536312052,9900.02388770203,-0.002053020665582,0.99836192765864,0,1,1,0,-1,TRUE,TRUE,-0.48974299339624,0.630350574065067,0.814445382962947,-0.421234153662739,-0.207673916632287,-0.933086162912751,-4.55541700568552E-05,-0.542115727287133,-5.25916813863982E-05,-0.492946149238073,-0.542115727150784,-2.09262733397184E-05,-0.501115849515253,-1.93424900385271E-05,-1.93424900385271E-05,-0.501115849515253,-1.04644014712147,-2.29401641188533E-05,0.339976469136742,-0.000100253570091,-5.54346442288108E-05,0.839596566890543,-2.69942774666198E-05,-0.239242267759735,-0.365429562854556,-0.202371934293137,-0.202371934293137,-0.410482241999596,-0.17721835488574,-0.359470810936924,-0.421234153662739,-0.207673916632287,0.877870664919495,-0.365429562854556,-0.239242267759735,-0.433364353710492
result.5,chr1_21410512_aripo,-1.60943795430544,1.0216512259931,0.405465088648922,-0.154150688103358,2.77170365400901,0,0.944575881941423,0.59099899058516,1.59826987353427,0.109982929078734,-0.328389744597243,0.590998975082253,-0.555651969703566,0.578448796765132,-0.154150688103358,1.1819982501986,-0.130415326822572,0.896237841099196,1.0216512259931,0.881002732665084,1.15964592175844,0.24619299610768,0.867500537889744,0.788006174162541,1.10088038182148,0.270948721425749,-0.405465088648922,0.951572621028318,-0.426099994565581,0.670034984159201,-0.251314400545564,0.701162645712191,-0.358425255655621,0.720025094165536,0,1,1,52,0,TRUE,TRUE,-0.754782688435066,-0.621471749313162,-0.621471749313162,-0.621471749313162,-0.754782688435066,0.926998386111081,-1.00633340891759,-1.12740687132188,-1.00633340891759,1.05939170143098,0.280559013925072,-1.00633340891759,-1.12740687132188,0.479371327091632,-1.00633340891759,0.280559013925072,-0.621471749313162,-1.00633340891759,0.280559013925072,0.479371327091632,1.93909074568643,-1.12740687132188,-1.00633340891759,-0.754782688435066,-0.621471749313162,-0.754782688435066,-0.754782688435066,1.19188613160894,-0.754782688435066,-0.621471749313162,-0.621471749313162,1.83980581011128,-0.754782688435066,1.19188613160894,-0.754782688435066,-0.621471749313162
result.6,chr1_21410523_aripo,0.641853972605713,0.105360397327006,0.10008342301773,-0.085158116960307,0.487568099012847,0,0.062781338846852,0.536338436206802,0.117055453438815,0.906816109985688,-0.057504364537576,0.53633852920728,-0.10721654590538,0.914617189358419,-0.085158116960307,1.07267880159711,-0.079388272457249,0.93672379642344,0.105360397327006,0.733656682982761,0.143609946955913,0.885808485549176,0.020202280366699,0.782550709870072,0.025815937691825,0.979404149645914,-0.10008342301773,0.714458565692082,-0.140082893289663,0.888594496491523,-0.014925306057423,0.800116803617806,-0.018653909016705,0.985117197125945,0,1,1,0,0,TRUE,TRUE,-1.27575273891495,-1.24462927808557,0.736358243006599,-1.24462927808557,-0.403842601777061,-0.403842601777061,0.237261079636005,-1.28201533468741,-1.2773892480192,0.226787436875663,-1.28201533468741,-1.2773892480192,-1.28201533468741,0.646931086170691,-0.033665853843455,0.634449379120116,0.032281446351861,-1.2773892480192,-1.28201533468741,0.237261079636005,-1.2773892480192,0.952530302064361,0.814733593511334,0.240972550516377,-1.24462927808557,-1.27575273891495,-1.27575273891495,-1.24462927808557,-1.27575273891495,1.06802383591481,-1.24462927808557,0.651355182660414,0.8194626098161,0.736358243006599,0.651355182660414,-1.24462927808557
result.7,chr1_21410631_aripo,-27.2039503254855,27.6457831271925,28.3978728332653,-27.7410930875051,0.130952205524637,0,13.77523658344,178.258322445684,0.077276821606112,0.938403329437816,-14.5273262895128,178.25797319866,-0.081496081374844,0.935047441124519,-27.7410930875051,356.51279319578,-0.077812335537342,0.93797733386253,27.6457831271925,356.512008822833,0.077545166622791,0.938189861650631,-0.095309960312569,1.3901307620517,-0.068561866922433,0.945338373194926,-28.3978728332653,356.511482898198,-0.079654861611777,0.936511760538098,-0.656779745760261,1.43472493685902,-0.45777398084271,0.647114830831097,130.331549745006,1,3.46743429562056E-30,52,0,TRUE,TRUE,-0.924833575553605,-1.75087243465977E-06,-1.75087243465977E-06,-1.75087243465977E-06,-0.924833575553605,-0.349809359635391,-0.818118836931565,-0.134108546832533,-0.818118836931565,-0.911785485747435,0.942602890986675,-0.818118836931565,-0.911785485747435,0.788334461882303,-0.818118836931565,-0.911785485747435,-1.75087243465977E-06,0.610575130622484,-0.911785485747435,-0.818118836931565,-0.818118836931565,-0.911785485747435,-0.818118836931565,-0.924833575553605,-1.75087243465977E-06,-0.924833575553605,0.369973258997066,-1.75087243465977E-06,0.536234196051904,-1.75087243465977E-06,-1.75087243465977E-06,-0.924833575553605,0.632213936926324,-1.75087243465977E-06,-0.924833575553605,-1.75087243465977E-06
result.8,chr1_22878338_aripo,-23.6935542010387,-0.096554962479642,21.3909764964096,-21.2892994118844,15178.0491066034,0,-10.7412046684218,42151.1774649007,-0.000254825732386,0.999796678484634,-10.7463267904674,42151.1774649007,-0.000254947250274,0.999796581527391,-21.2892994118844,84302.3549298015,-0.000252535049936,0.999798506184737,-0.096554962479642,65846.4464767649,-1.4663655769748E-06,0.999998830009546,-21.385854374364,52641.5475940132,-0.00040625428681,0.999675855985711,-21.3909764964096,44156.0131718334,-0.000484440848705,0.999613472141314,-0.101677084525175,71813.1850531579,-1.41585538156971E-06,0.999998870310851,1.08376407297328E-05,1,0.997373323116594,52,0,TRUE,TRUE,-0.447214510975407,-1.0055153779145E-05,-1.0055153779145E-05,-1.0055153779145E-05,-0.447214510975407,-0.447214510975407,-9.71420144363073E-06,-1.0055153779145E-05,-9.71420144363073E-06,-1.0055153779145E-05,-1.0055153779145E-05,-9.71420144363073E-06,-1.0055153779145E-05,-9.71420144363073E-06,-9.71420144363073E-06,-1.0055153779145E-05,-1.0055153779145E-05,-9.71420144363073E-06,-1.0055153779145E-05,-9.71420144363073E-06,-9.71420144363073E-06,-1.0055153779145E-05,-9.71420144363073E-06,-0.447214510975407,-1.0055153779145E-05,-0.447214510975407,-0.447214510975407,-1.0055153779145E-05,1.67484432765855,-1.0055153779145E-05,-1.0055153779145E-05,-0.447214510975407,-0.447214510975407,-1.0055153779145E-05,-0.447214510975407,-1.0055153779145E-05
result.9,chr1_22878340_aripo,-4.69494744349776,-19.8696263366614,-1.39763046344118,0.861302220711587,60038.6487050102,16.9794045492476,-19.4389752263056,39374.7045571078,-0.00049369196404,0.999606090820101,0.966979353085383,39374.7045550652,2.45583900631704E-05,0.999980405239732,0.861302220711587,78749.4091099057,1.09372531228713E-05,0.999991273334596,-19.8696263366614,75420.0499130382,-0.000263452839922,0.999789795048958,-19.0083241159498,22655.8051415864,-0.000839004572875,0.999330571283399,1.39763046344118,1.18760609366648,1.17684682732326,0.23925664832314,0.53632824272959,78749.4091010631,6.81056847094932E-06,0.999994565952567,1.47584787751323,1,0.224425292064901,0,-1,TRUE,TRUE,-0.061924194849568,-0.12455235892294,-0.12455235892294,0.548411415946537,-1.03038434733392,-0.061924194849568,-6.32406310023945E-06,-5.16357589891671E-06,-6.32406310023945E-06,-6.13140666161217E-05,-5.16357589891671E-06,-6.32406310023945E-06,-5.16357589891671E-06,-6.32406310023945E-06,-6.32406310023945E-06,-5.16357589891671E-06,-0.12635368439902,-6.32406310023945E-06,-5.16357589891671E-06,-6.32406310023945E-06,-6.32406310023945E-06,-5.16357589891671E-06,-6.32406310023945E-06,-0.065993291504939,-0.12635368439902,-0.06108584231743,-0.06108584231743,-0.122866123378048,0.9196041280793,-0.329906677241111,-0.12455235892294,-0.061924194849568,-0.065993291504939,-0.12635368439902,-0.065993291504939,-0.12635368439902
result.10,chr1_22878353_aripo,-4.89560836532646,-19.4624387662248,-0.696170257999147,-0.46919593969085,58715.6903551867,16.4373259286134,-19.6970367360702,34851.5775103473,-0.000565169158562,0.999549060278148,0.930768227844572,34851.5775108949,2.67066312150033E-05,0.999978691191285,-0.46919593969085,69703.1550214943,-6.73134436376896E-06,0.999994629164259,-19.4624387662248,67591.1060946526,-0.000287943782707,0.999770254104574,-19.9316347059156,17028.5700161856,-0.001170482000953,0.999066090695989,0.696170257999147,0.908810691865575,0.76602340204655,0.443662377750708,1.16536619769,69703.1550157174,1.67189877908284E-05,0.99998666017777,3.26687167351278,1,0.070692308996457,0,-1,TRUE,TRUE,-0.079817409191947,-0.113049610871378,-0.113049610871378,-0.996963370687227,1.13413039201241,-0.079817409191947,-7.22149631802659E-06,-3.61074815901329E-06,-6.25399926474681E-06,-8.24959161643844E-05,-3.61074815901329E-06,-7.22149631802659E-06,-3.61074815901329E-06,-6.25399926474681E-06,-6.25399926474681E-06,-3.61074815901329E-06,-0.115753638043049,-6.25399926474681E-06,-3.61074815901329E-06,-6.25399926474681E-06,-6.25399926474681E-06,-3.61074815901329E-06,-7.22149631802659E-06,-0.083891076527344,-0.115753638043049,-0.078102381525296,-0.078102381525296,-0.110620526668326,-0.466255987830772,0.493708210203279,-0.113049610871378,-0.079817409191947,-0.083891076527344,-0.115753638043049,-0.083891076527344,-0.115753638043049
